,Country,Country_Code
131,Afghanistan,AFG
247,Albania,ALB
249,Algeria,DZA
628,Andorra,AND
246,Angola,AGO
406,Antigua and Barbuda,ATG
472,Argentina,ARG
133,Armenia,ARM
480,Australia,AUS
611,Austria,AUT
134,Azerbaijan,AZE
367,Bahamas,BHS
135,Bahrain,BHR
3886,Bangladesh,BGD
301,Barbados,BRB
507,Belarus,BLR
366,Belgium,BEL
302,Belize,BLZ
161,Benin,BEN
136,Bhutan,BTN
250,Bolivia (Plurinational State of),BOL
303,Bosnia and Herzegovina,BIH
417,Botswana,BWA
215,Brazil,BRA
207,Brunei Darussalam,BRN
234,Bulgaria,BGR
251,Burkina Faso,BFA
607,Burundi,BDI
453,Cabo Verde,CPV
191,Cambodia,KHM
137,Cameroon,CMR
402,Canada,CAN
162,Central African Republic,CAF
138,Chad,TCD
682,Chile,CHL
309,China,CHN
165,Colombia,COL
204,Comoros,COM
140,Congo,COG
639,Cook Islands,COK
289,Costa Rica,CRI
388,Croatia,HRV
141,Cuba,CUB
707,Cyprus,CYP
637,Czechia,CZE
219,Côte d’Ivoire,CIV
277,Democratic People's Republic of Korea,PRK
142,Democratic Republic of the Congo,COD
589,Denmark,DNK
166,Djibouti,DJI
360,Dominica,DMA
229,Dominican Republic,DOM
192,Ecuador,ECU
143,Egypt,EGY
238,El Salvador,SLV
222,Equatorial Guinea,GNQ
409,Eritrea,ERI
523,Estonia,EST
239,Eswatini,SWZ
197,Ethiopia,ETH
361,Fiji,FJI
494,Finland,FIN
313,France,FRA
205,Gabon,GAB
181,Gambia,GMB
167,Georgia,GEO
616,Germany,DEU
224,Ghana,GHA
253,Greece,GRC
371,Grenada,GRD
144,Guatemala,GTM
145,Guinea,GIN
404,Guinea-Bissau,GNB
182,Guyana,GUY
193,Haiti,HTI
210,Honduras,HND
624,Hungary,HUN
536,Iceland,ISL
342,India,IND
146,Indonesia,IDN
168,Iran (Islamic Republic of),IRN
216,Iraq,IRQ
483,Ireland,IRL
206,Israel,ISR
484,Italy,ITA
352,Jamaica,JAM
362,Japan,JPN
232,Jordan,JOR
296,Kazakhstan,KAZ
188,Kenya,KEN
305,Kiribati,KIR
9468,Kuwait,KWT
343,Kyrgyzstan,KGZ
245,Lao People's Democratic Republic,LAO
512,Latvia,LVA
170,Lebanon,LBN
370,Lesotho,LSO
180,Liberia,LBR
147,Libya,LBY
488,Lithuania,LTU
629,Luxembourg,LUX
243,Madagascar,MDG
248,Malawi,MWI
149,Malaysia,MYS
379,Maldives,MDV
171,Mali,MLI
410,Malta,MLT
9467,Mauritania,MRT
194,Mauritius,MUS
287,Mexico,MEX
150,Micronesia (Federated States of),FSM
562,Mongolia,MNG
293,Montenegro,MNE
256,Morocco,MAR
331,Mozambique,MOZ
172,Myanmar,MMR
297,Namibia,NAM
265,Nauru,NRU
280,Nepal,NPL
551,Netherlands,NLD
541,New Zealand,NZL
173,Nicaragua,NIC
151,Niger,NER
263,Nigeria,NGA
610,Niue,NIU
315,Norway,NOR
184,Oman,OMN
212,Pakistan,PAK
163,Panama,PAN
233,Papua New Guinea,PNG
189,Paraguay,PRY
152,Peru,PER
153,Philippines,PHL
489,Poland,POL
390,Portugal,PRT
154,Qatar,QAT
290,Republic of Korea,KOR
267,Republic of Moldova,MDA
627,Romania,ROU
278,Russian Federation,RUS
201,Rwanda,RWA
327,Saint Kitts and Nevis,KNA
403,Saint Lucia,LCA
344,Saint Vincent and the Grenadines,VCT
308,Samoa,WSM
345,Sao Tome and Principe,STP
9471,Saudi Arabia,SAU
175,Senegal,SEN
339,Serbia,SRB
354,Seychelles,SYC
155,Sierra Leone,SLE
214,Singapore,SGP
619,Slovakia,SVK
543,Slovenia,SVN
185,Solomon Islands,SLB
9401,Somalia,SOM
469,South Africa,ZAF
318,Spain,ESP
156,Sri Lanka,LKA
19012,Sudan,SDN
283,Suriname,SUR
268,Sweden,SWE
276,Switzerland,CHE
177,Syrian Arab Republic,SYR
157,Tajikistan,TJK
346,Thailand,THA
195,The former Yugoslav Republic of Macedonia,MKD
226,Timor-Leste,TLS
260,Togo,TGO
199,Tonga,TON
258,Trinidad and Tobago,TTO
187,Tunisia,TUN
461,Turkmenistan,TKM
158,Tuvalu,TUV
292,Türkiye,TUR
159,Uganda,UGA
228,Ukraine,UKR
164,United Arab Emirates,ARE
457,United Kingdom of Great Britain and Northern Ireland,GBR
255,United Republic of Tanzania,TZA
591,United States of America,USA
470,Uruguay,URY
266,Uzbekistan,UZB
382,Vanuatu,VUT
160,Venezuela (Bolivarian Republic of),VEN
186,Viet Nam,VNM
178,Yemen,YEM
218,Zambia,ZMB
221,Zimbabwe,ZWE
